6696,Sib Z,No need to pay to find people!,5,0,10-01-2022 08:10,Tinder;;
6697,Israel Conerly,Hinge is entirely better,1,0,10-01-2022 08:08,Tinder;;
6698,Bola Abdel-Malak,This app literally wan pple single forever sothey do not stop using the app lol,1,0,10-01-2022 08:04,Tinder;;
"6699,G C,""Why is it that in a very mixed multiracial location, the vast majority of the Suggested, Recommended, & Top picks are imbalanced. Been noticing this for awhile now... Who's selecting these candidates?"",1,4,10-01-2022 08:04,Tinder";;
6700,ItzSilencemc,Do not really like,1,0,10-01-2022 07:59,Tinder;;
6701,Elina Ihnatsiuk,I was banned before using the app,1,0,10-01-2022 07:54,Tinder;;
6702,A. Gulevatov,I haven't ability to write outgoing messages. No input form for text.,1,49,10-01-2022 07:46,Tinder;;
6703,Dude,The lack of super likes sucks bootyhole,5,6,10-01-2022 07:41,Tinder;;
"6704,Luis Gustavo,""Muito ruim, o aplicativo tá completamente bugado, eu coloco o limite de KM e todos os likes q eu recebo são d Emais 6mil km qual o sentido?"",1,0,10-01-2022 07:36,Tinder";;
6705,Rizky Ilham,fix bugs and make it lighter,2,0,10-01-2022 07:32,Tinder;;
"6706,Maximilian Kurek,""I'll keep this at one star until the issue below is fixed, as it's been going on for months now. You used to be able to change artists displayed under the Spotify tab, but now you're only able to change your anthem. When going into your artists tab, you're still able to unselect artists you don't want displayed on your profile, but the changes don't save when exiting it. I look for people with similar music taste, so it's one of the most important features for me. Will change to 5* once fixed"",1,0,10-01-2022 07:26,Tinder";;
6707,Shelly White,4 days in a row and tinder will not send an SMS code to log in.,1,0,10-01-2022 07:13,Tinder;;
6708,Luca Demontis,Banned for no reason. Without explanation.,1,0,10-01-2022 07:11,Tinder;;
"6709,Tojima Nagano,""Made a profile for a second time and got a b6nch of matches until one day no matches no like no nothing and I waited and it's like no one sees my profile, I hate this app so much fix it now!"",1,1,10-01-2022 06:58,Tinder";;
6710,Shane Mcelfresh,If u don't use this app your missing out!!,5,0,10-01-2022 06:56,Tinder;;
"6711,Gi Vi,""Tinder would really help make the world a better place. It's designed to make you pay for every premeditated flaw. This app is not helping find love. It exploits solitude. Everyone would use this app if it didn't feel rotten, not because of people but from the inside."",1,1,10-01-2022 06:55,Tinder";;
"6712,Jorge De Leon,""Horrid app. Takes advantage of lonely men. FYI women have unlimited likes unlike men get 10-15 every 12 hours. App preys on lonely men that are willing to spend money. It was almost impossible for me to make an account but it's riddled with fake accounts. On top of that you block people and they keep showing up on the queue. You can clearly see it's a scam when you swiped left on everyone of your """"matches"""" but still show up on your """"likes"""" to make you pay for premium or whatever trash. Worst app"",1,8,10-01-2022 06:53,Tinder";;
6713,NoLuck Play,Trash app,1,1,10-01-2022 06:44,Tinder;;
6714,cash money,Good,4,0,10-01-2022 06:37,Tinder;;
"6715,George Dolman,""I tried to log in today after not using the app for a while to find out that I'm banned, and ive not been given a reason to why ive been banned. Very strange"",1,1,10-01-2022 06:34,Tinder";;
"6716,smurgle darf,""Everything costs money to use effectively. Men are forced to use """"gaming strategies"""" or risk being pushed out of the matching pool by their own preferences. Terrible customer service in the event you find a bot account. Even worse customer support if they're competent enough scammers to get money out of you. Reporting system is broken. More likely to get matched by wannabe influencers and sex-workers than normal people. Have a like that refuses to show in my queue. Tiresome experience."",1,23,10-01-2022 06:32,Tinder";;
6717,Acoustic Mania,Trash app. Dont waste your time on this. Find real girl outside..,1,1,10-01-2022 06:29,Tinder;;
6718,Nicole Mill,God knows this is too absurd to explain the fairness for my account ban. So upsetting and feeling humilated for this action upon it by Tinder service.,1,0,10-01-2022 06:16,Tinder;;
"6719,R swiggles,""You might find your special someone on tinder but I'm gonna be honest with you, you're better off finding that someone in person. I don't mean to be mean but put down your phone and look up once in a while. You might be missing out on some opportunities."",3,0,10-01-2022 06:05,Tinder";;
6720,Wally Miller,Kinda ok,5,0,10-01-2022 06:03,Tinder;;
6721,Sonya Taylor,Cool,5,0,10-01-2022 05:51,Tinder;;
"6722,T C,""Horrible customer support. My account got hacked, I sent screen shots of the person who hacked it and they still banned me. I will never recommend this app for that reason."",1,0,10-01-2022 05:51,Tinder";;
"6723,droopy,""I would give 0 if I could. I think it's hella messed up that a dating app can be this pay to win where every 30 seconds they ask you to buy their gold subscriptions, read receipts, or boosts and all the other stuff they peddle on this app. They could still make a lot of money without being this agressive with the pay to win."",1,1,10-01-2022 05:50,Tinder";;
"6724,Damian Ortiz,""Just two questions: Why in the blue hell if I placed """"interested in women"""" are you showing me she-males or a dude who placed """"bisexual"""" in his profile? What's the point of disrespecting straight people's preferences?"",4,0,10-01-2022 05:40,Tinder";;
6725,Patrick Pablo,Great app,5,0,10-01-2022 05:04,Tinder;;
"6726,Kelle Delane,""Wow such a scam now, this platform started off great";" wonder what happened ?"",2,0,10-01-2022 05:00,Tinder";
"6727,ChuggyNation,""I sincerely hope that everyone who designed this app burns in Hell forever, this app has 1 job and that is to find me a potential match to date and yet even after spending money it's clearly obvious that they're actively preventing me from seeing my matches. This is one of the reason why I have lost complete and total faith in humanity its pathetic."",1,4,10-01-2022 04:56,Tinder";;
6728,jagdish grover,Very good and helpful,5,0,10-01-2022 04:55,Tinder;;
"6729,Richard Heskins,""Account wAs banned after I reported several fake accounts, no information about why my account was banned, it makes me wonder if they want bots operating on the app."",1,0,10-01-2022 04:44,Tinder";;
6730,Liezel Teague,App crashes loads and drains battery. People rarely talk when you get a match. In the new update being able to see when people were last online has been removed which was a good feature.,1,1,10-01-2022 04:13,Tinder;;
6731,Steve Murillo,Great app!,5,0,10-01-2022 03:39,Tinder;;
"6732,Peter Moore,""It's a good app if Ur prepared to put the time in...till u CAN get a face 2face date ,& it starts or stops from there that date & person but hopefully U get luky 1st time round!? As in uv found wat Ur lookin for!?.."",4,0,10-01-2022 03:34,Tinder";;
6733,Alecia Boyd,This app sucks.,1,0,10-01-2022 03:25,Tinder;;
6734,Vince the chronic,Found real connections,5,0,10-01-2022 03:25,Tinder;;
6735,Eliana Sisko,it gets glitchy it shows me matches and messages from 2018? I don't know what's wrong with it,2,0,10-01-2022 03:19,Tinder;;
"6736,ghassan fadel,""My account is banned ,and i really dont know why. How can i get it back please?"",5,0,10-01-2022 03:08,Tinder";;
6737,Andriy Yeroshchenkov,I'm facing an issue with age verification. When I take a photo of my ID - Tinder application distorts the photo and verification fails subsequently. I've tried to reach Tinder support but only received template responses without digging into the problem I'm facing. And I'm paying money for all that?,1,289,10-01-2022 03:01,Tinder;;
"6738,Jemma Briggeman,""for some reason it won't let me select my Spotify artists, it just picks them automatically and won't accept my selections"",1,0,10-01-2022 02:58,Tinder";;
"6739,Andrew McGuire,""Banned for no reason, and the appeal process is just an automated service that repeats a link to community guidelines"",1,0,10-01-2022 02:56,Tinder";;
6740,Adam Wood,Garbage. Im pretty sure they dont actually show your profile to anyone unless you pay for premium. And why in the world does it take so long for the pictures to load? Complete waste of time.,1,0,10-01-2022 02:52,Tinder;;
6741,gloria magezi,Best of the bestest im nolonger feeling lonely and bored.. Thanks to tinder,5,0,10-01-2022 02:51,Tinder;;
6742,Not Hadley,Perma banned for swearing once. Most accounts are fake. Spammed with scam links. Only works if you pay gold.,1,0,10-01-2022 02:45,Tinder;;
6743,Haroun Ben salem,Ki zebby l app,1,0,10-01-2022 02:38,Tinder;;
6744,Ahmed Amal ahmed,Dating stringers lik that its totally unsafe I heard lot murders happen and crimes because tinder its was the connection btwn criminals n thier victims n targets. parents :safe better than sorry if love ur teenager kids make sure never ever hav this stupid app in thier phones . ± theyn't need any relationships.They need to be focusing in thier education. im wondering why safty concern means only warning users. Why would you create something dangerous lik that n warn users.,1,0,10-01-2022 02:38,Tinder;;
6745,Ethan Bales,Used the app for a while had some matches but then one day 8 went on the app and it said my account has been deleted and i can't make other one so 🤷‍♂️,1,0,10-01-2022 02:37,Tinder;;
6746,Ra1kage R6S,Good,5,0,10-01-2022 02:24,Tinder;;
"6747,Yada Callanan,""CANCELLED IMMEDIATELY, CANNOT HET REFUND (cancelled within 30 minutes)"",1,0,10-01-2022 02:24,Tinder";;
6748,Zouhair Zerraf,Horrible. The worst app ever!!! ⚠️⚠️⛔⛔,1,0,10-01-2022 02:22,Tinder;;
6749,RogueGhost OracleGamer,The report button doesn't work. You report the profile for dick pics or sex because it's some dude sucking disk and you end up seeing the same profile every 3rd person. Customer Support is useless on this app.,1,0,10-01-2022 02:02,Tinder;;
6750,Song World,Best dating app,5,0,10-01-2022 02:01,Tinder;;
6751,Tasha Coffey,On list of free dating apps but have to pay to see who likes you... shouldn't have to pay too meet people,1,0,10-01-2022 01:56,Tinder;;
6752,Claude Joe Acquaah Jr.,Easy to use...,5,0,10-01-2022 01:46,Tinder;;
6753,flora blaque,Cool app,5,0,10-01-2022 01:44,Tinder;;
6754,Rommel Paulite,Tinder making me have a new friends,5,0,10-01-2022 01:39,Tinder;;
"6755,Marcus Hughes,""I don't even have an account and never have with you, and I was banned just for entering my mobile number. I can see why this app has such poor ratings now. Seemingly incompetent processes that were never considered."",1,0,10-01-2022 01:39,Tinder";;
"6756,Shawn Martin,""Typical Site, get what ya pay for or don't, should be more to the platinum deal than there is."",4,0,10-01-2022 01:33,Tinder";;
6757,Mina Alizadeh,That's awful! Almost doesn't work! Always repeated to send me same people who I already liked before!! I can not chat with anybody!if you are from Iran and you don't have credit card this app doesn't work for you!,1,0,10-01-2022 01:19,Tinder;;
6758,The Minimal Macho,baal,2,0,10-01-2022 01:18,Tinder;;
6759,Cayde Munro,i only came back and wanted to meet someone and it doesn't even work 😔,1,0,10-01-2022 01:17,Tinder;;
6760,Suzanne Soreño,OK,5,0,10-01-2022 01:17,Tinder;;
6761,Vincent stuestøl,SCAM,1,0,10-01-2022 01:15,Tinder;;
6762,Faith Irungu,Very good,5,0,10-01-2022 00:49,Tinder;;
6763,Dominic M,Horrible app. No real customer support.,1,0,10-01-2022 00:38,Tinder;;
6764,Garrett Lobin,Always giving an error. Tried uninstalling and reinstalling and it still doesn't work.,1,0,10-01-2022 00:22,Tinder;;
6765,Dylan Reynolds,Rejuvenating,5,0,10-01-2022 00:21,Tinder;;
"6766,Katharine Hauser,""It's fun, can be fake profiles at times."",4,0,10-01-2022 00:18,Tinder";;
"6767,Chukwulobe Chidinma,""Tinder has been the best dating app that i have known and seen,i have checked for better dating app but no one compares to tinder,you will really love this app.i have met so many friends here and even besties here on this particular app and I'm really enjoying it. Altho they are scammers on the app tho,but aside that I'm really enjoying this app.I'm not hyping it. I'm verified on Tinder means i have really gone far.it's a hookup site, friendly site,lovers site and so on.it depends on what u want"",4,5,10-01-2022 00:14,Tinder";;
"6768,Mujahid Hussain,""Very bad experience. Everytime i see """"something went wrong"""", """"something went wrong""""and """" something went wrong"""" thats all, i un-installed the app."",1,0,09-01-2022 23:56,Tinder";;
6769,Isa bel,Location doesn't work,1,0,09-01-2022 23:55,Tinder;;
"6770,Nicholas Lilles,""Quite a few scammers on this app, or just bots that tinder probably uses to attract paying customers. Overall Meh, it's what's available unfortunately. Could be better."",4,0,09-01-2022 23:47,Tinder";;
6771,Kimberly Wilterdink,I used this before and then hid my account for awhile. I went to reactivate it and tinder made me verify that I'm human. After that I was banned with no explanation,1,0,09-01-2022 23:45,Tinder;;
6772,Hasan Tarek,Good,4,0,09-01-2022 23:38,Tinder;;
"6773,CMF Reviews,""This app is highly sexist in my opinion, from what I hear females get matches while males are a dry storm. I know for a fact I'm not below average looking and my pics were at or above standard (beaches,model poses etc) I didn't get matches but 100+ pending with basic so went premeuim and surprise! None of them were ppl you liked out of thousands 🙄superliked a match and instead got her number at her job coincidentally shoppin cuz she never saw me and it's a SUPERLIKE. I was buried! men its Scam!"",1,13,09-01-2022 23:33,Tinder";;
"6774,conner anshutz,""I paid for unlimited the higher their, did not have unlimited likes as they advertised, and still had ad's. They removed features such as sort by near me & randomly delete matches."",1,0,09-01-2022 23:23,Tinder";;
"6775,N E,""Useless app, All what they want is money 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮"",1,0,09-01-2022 23:22,Tinder";;
6776,Sharon Mwende,First off all this account is very good and refer everybody to it because it made in a better way than others..Please the one who runs tinder why was i banned for no reason i opened my account then after few days i was banned whyyyy please help me out and tell me why was i banned....its really good app whyyyyy😩🥺,5,0,09-01-2022 23:06,Tinder;;
6777,MastaHeadSH0TzX BurntSugar,Pure garbage,1,0,09-01-2022 22:55,Tinder;;
"6778,Ben Okeh,""Hello Sirs, I am giving one star because I need to write this review. I made a 6 months payment using my friends card and I was blocked instantly. In your terms and conditions there is no mention on restrictions on using third party cards. Why was I blocked and if I cannot be unblocked please can I get a refund to the card I made payment from. This is urgent please Here is the ticket number I have already registered with my complaints (21869390). Pleas follow up accordingly. Thanks Ben Alex"",1,6,09-01-2022 22:52,Tinder";;
6779,Freda blessing,It's a nice app,5,0,09-01-2022 22:44,Tinder;;
6780,Sk muthu Sk muthu,Etyuu,5,0,09-01-2022 22:40,Tinder;;
6781,Casey Orbison,Too much money,1,0,09-01-2022 22:33,Tinder;;
6782,Kafi's Drifts,Good,5,0,09-01-2022 22:32,Tinder;;
6783,Richard Hundley,Nice,4,0,09-01-2022 22:29,Tinder;;
6784,Sanelr Nkazzi,Let us be able to see who liked our pictures please,5,0,09-01-2022 22:13,Tinder;;
6785,Super Kick,Just a money sucking app.,1,0,09-01-2022 22:12,Tinder;;
6786,O R,No matches unless you spend money,1,0,09-01-2022 22:07,Tinder;;
6787,Vipin Pandey,Scam By Tinder!! Today I got a match and messaged the match but after 1 hour the match and the message was vanished from the app!! They would do anything for money!! Begging is better instead!!,5,1,09-01-2022 22:03,Tinder;;
6788,Dale Taylor,Cant do much without paying for it.,3,0,09-01-2022 22:03,Tinder;;
"6789,Callum Macey,""The app is broken and they have no interest in fixing it. Just today they've banned me, unbanned me, showed me men, people who are thousands of miles out of my range and even people who are half a decade out of my age range. The app simply does not work."",1,3,09-01-2022 21:38,Tinder";;
6790,PAHADI SWAG,👍🏻,5,0,09-01-2022 21:32,Tinder;;
6791,Φώτης,Monkey app.,1,0,09-01-2022 21:03,Tinder;;
"6792,Leo Frederick Gerber,""Tinder stole out of my bank account! Worst dating app ever made!! Fake accounts, fraud, no security, limited search options. Cannot even choose ethnicity!! Tinder took away 5 super likes daily, rendering it completely useless and worthless. Regret ever having waisted time trying out this app in lockdowns. Everyone please DO NOT get this app!! It is a complete waist of time! Who ever designed this app must be incredibly stupid. Everyone is unhappy and very disappointed in this app abd site."",1,0,09-01-2022 21:01,Tinder";;
6793,Rudolf Rebello,I am not start I don't know anything about this when it's starting that time I will give experience about this things 👍🙋,5,0,09-01-2022 20:56,Tinder;;
6794,Jonathon Foster,Everything is ending up behind a pay wall. Half the matches are just bots. Decided to get on after not really using it for a month and I literally got banned for no reason. 🤣 All just another garbage dating app looking for $$.,1,0,09-01-2022 20:49,Tinder;;
6795,Asus Rog,App does not allow me to delete the account.,1,0,09-01-2022 20:48,Tinder;;
6796,MD Maznur Sultan,Good 👍,5,0,09-01-2022 20:44,Tinder;;
6797,tayyab maher,it's great app for find your soulmate 🌹💞,5,0,09-01-2022 20:17,Tinder;;
6798,Zidd Rosales,Too expensive! The subscription is too pricey! Why you just make it free for to all and enjoy chatting with someone match's you.,1,92,09-01-2022 20:14,Tinder;;
6799,Nnodim Osita,Nice,5,0,09-01-2022 20:13,Tinder;;
"6800,jigssup,""Terrible..full of bots looking for you to go on pay sites. When you do get real people msgs and  likes, you can't view them..Well 10% of the time you can. Very glitchy. Full of old profiles that haven't been used in ages. Don't let it take your money and your dignity!!!!!!"",3,1,09-01-2022 20:08,Tinder";;
6801,Broderic Kartholl,Not a fan of the app because it's oriented around hook ups and not based on personality/hobbies/interest.,1,0,09-01-2022 20:02,Tinder;;
"6802,STANDARD POTATO,""Still sucks to this day. Full of fake girls, who just wants to advertise their instagram"",1,7,09-01-2022 19:59,Tinder";;
"6803,SILAYIEIRxI,""Everything behind a paywall, messages, people who like you and all."",1,0,09-01-2022 19:47,Tinder";;
"6804,Sam,""my profile was banned for no reason , I contacted their customer service and they said they can't provide any information !!!"",1,0,09-01-2022 19:46,Tinder";;
6805,Harkirat singh,Great,5,0,09-01-2022 19:08,Tinder;;
"6806,Tay Jacobsen,""I get that this app is just trying to make money, but they make it very difficult to do anything. Buy this to do that and such. I matched with someone and it won't let me talk to them without buying tinder gold first. The only reason it got two stars was the fact that it's a pretty easy to navigate app. Though I do wish they'd fix the amount of money they make you spend just to talk to people."",2,6,09-01-2022 19:07,Tinder";;
6807,Hanif Hasan,Good for meet new people,5,0,09-01-2022 18:58,Tinder;;
6808,Suprabhat Saha,Great,5,0,09-01-2022 18:53,Tinder;;
6809,Nikita Gogoi,Good,1,0,09-01-2022 18:50,Tinder;;
6810,Shane Conlon,So far been great. Got platinum pkg. ... a man needs all the frills he can get when on the front... can't wait to meet some more fine ladies 😍,5,0,09-01-2022 18:47,Tinder;;
6811,Kyeremeh Prince,Nice app,5,0,09-01-2022 18:40,Tinder;;
6812,Ken Hong,The amount of money u need to subscribe here is more than u go out and meet someone in person and bring them to luxury meal...even u subscribe also less than 1% chances than u will likely meet that person in real life because mostly either is advertising profile to promote their Instagram account or fake profile,1,0,09-01-2022 18:37,Tinder;;
6813,Deepak Agrawal,Faltu app,1,0,09-01-2022 18:36,Tinder;;
6814,Rahul Khambalkar,Why did u blocked my ac,1,3,09-01-2022 18:28,Tinder;;
6815,Akutagawa kinnie,I was catfished and he kidnapped and he forcefed me his lice im in a mental hospital rn,1,0,09-01-2022 18:23,Tinder;;
6816,bilawal jaffri,Good,5,0,09-01-2022 18:20,Tinder;;
6817,Samin Yeasar,Nice,5,0,09-01-2022 18:20,Tinder;;
"6818,M T,""You need to spend money on boosts, if not tinder will not show your profile to other members. I got 4-5 matches during the first two months. After that, this dropped to 1 or 2."",1,17,09-01-2022 18:11,Tinder";;
"6819,Abang ThankGod,""Good app to meet people, thanks tinder."",5,0,09-01-2022 18:09,Tinder";;
6820,Nitin bisen,Waste of time...,1,0,09-01-2022 17:25,Tinder;;
6821,Grace Sorrano,Can't open the app!,1,0,09-01-2022 17:12,Tinder;;
6822,Emon Hasan,I like this tinder,5,0,09-01-2022 17:07,Tinder;;
6823,Alan Archery,Mantap teh kooo,5,0,09-01-2022 17:05,Tinder;;
"6824,Abbes Malek,""Overall good , you've got to make some improvements tho concerning the explore/swipe search idk and how accurate it is But most importantly if it's going to survive it really needs some mandatory and necessary improvements , for example make users able to send pictures in chat . *Update :It's been quite awhile since I've seen the lifestyle new feature in many profiles yet i can't seem to get the update that has this feature yet it's been more than 3 months already ."",4,2,09-01-2022 17:03,Tinder";;
"6825,Edward David Maduro,""I like it, you can make lots of new friends 😊 And lots more 😍"",5,0,09-01-2022 16:48,Tinder";;
6826,Peter Amayo,Awesome. 4 Solid Hours + 24 hour anniversary.,5,0,09-01-2022 16:19,Tinder;;
6827,ravi shanker Singh,Big scamer after buy subscription most of fake profile most of not replying your messages. Biggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg scams,1,0,09-01-2022 16:17,Tinder;;
6828,chinedum abalanne,Lovely place to chill,5,0,09-01-2022 16:17,Tinder;;
"6829,Gor Ashot,""Money, money,... Nothing added but want payment for all..."",1,0,09-01-2022 16:14,Tinder";;
"6830,Ignacas Pakalnis,""Banned permanently for refusing to transfer money to some foreign chick, she got mad and reported me🤣🤣"",1,0,09-01-2022 16:11,Tinder";;
"6831,Ujjwal Kumar,""If there is a zero star option, then I must have give it to this app. I just taken tinder gold subscription but there is no matches till now. I also checked from my friend's tinder account but i am not being shown in her nearby and but her profile was showning in my account . All this happening after i had taken gold membership. Then what is hell . I think all of money just got wasted. If my profile is not shown up anywhere, then how will i get likes and i also think this app is just us fool."",1,0,09-01-2022 15:41,Tinder";;
6832,Ben10point2,So after using the app on and off for a couple years. I was randomly banned. After receiving a generic email I followed it to the rules and regulations. None of which involved me. Poor customer service and no real explanation.,1,0,09-01-2022 15:38,Tinder;;
6833,Kajal Brk,♥️♥️,5,0,09-01-2022 15:32,Tinder;;
6834,Nick Delaney,Paid 30 bucks a month and it wouldn't let me boost like it claims and it has ads another lie,1,0,09-01-2022 15:27,Tinder;;
"6835,Matthew Anthonia,""Hmmm 🙄 it's very nice 👌 app but, the login version is very stressful this day's and annoying, so I think you should look into it , and also please unbanned my account. 🙏🙏🙏🙏"",3,0,09-01-2022 14:59,Tinder";;
6836,chess lich,Full of scammers,1,0,09-01-2022 14:53,Tinder;;
6837,David Evans,I want to meet people,5,0,09-01-2022 14:39,Tinder;;
6838,Aiden Hall,The best im now engaged!! All these bad reviews but I actually mett the love of my life exactly a year ago today and no didn't pay for anything just used the free side of tinder x,5,0,09-01-2022 14:36,Tinder;;
6839,Goran Klepac,Sucks,1,1,09-01-2022 14:32,Tinder;;
6840,Mak Curtis,Always says there's no one around even though I live in a college city with a huge mall. Won't show me anyone if I use a boost so I've wasted like 8 I've reinstalled it many times. Its gone way down hill you guys will have way better service on bumble tbh,1,0,09-01-2022 14:30,Tinder;;
"6841,Adé Adé,""Please DO NOT subscribe to them. I subscribed for 1 year plan & they banned me for absolutely no reason whatsoever - did nothing wrong no dirty pics, no fake profile or pics, no rudeness kept everything real. Took the one year sub with no refund. Even sent them to ask why, they simply said I violated terms - no details. So just thought to try again after a year, but this time with a monthly sub for caution. Not up to 12 days and they banned again, for absolutely no reason. They are scammers."",1,0,09-01-2022 14:21,Tinder";;
"6842,Qureshi Tayyab,""Never ever try to pay for Gold or Tinder plus..I strongly recommend to don't do that..I paid yesterday for Gold membership and today I was told today by Tinder that my account has been banned because I have violated something. I am using my genuine phone number ,my own pictures and my own email address..I didn't talked to a single person yet and they have banned my account.. Really really hate you😡😡😡😡😡😡😡😡😡😡"",1,0,09-01-2022 14:10,Tinder";;
6843,Asifmolla,Not so good,2,0,09-01-2022 13:57,Tinder;;
6844,Kevin Welsh,Very disappointed with tinder go with out days from getting a match then one or two pop up on sure tinder only sends very few of your likes,1,0,09-01-2022 13:50,Tinder;;
6845,Simran Panda,Good,5,0,09-01-2022 13:44,Tinder;;
6846,Ithiris Ahmed.M,Tq,5,0,09-01-2022 13:43,Tinder;;
6847,Nathan Jenkins,Trash. First they take my money and then they ban my account for no reason at all.,1,2,09-01-2022 13:34,Tinder;;
6848,Valentina Sandra,It great app but why not signing easily,5,0,09-01-2022 13:26,Tinder;;
6849,Momo Mehrezola,Amazing experience...it really worths to try it,5,0,09-01-2022 13:20,Tinder;;
6850,Nawshad Ali,It's sucks wen we downloaded the it will be fine after once money paid they ban the account. faurd app worst @pp,1,0,09-01-2022 13:10,Tinder;;
6851,Aditi Debnath,Such a disgusting app honestly. Don't know why the hell this app crashes down so frequently. This happened not for the first time tho. And most importantly my match vanishes after talking for a few days. This is very much yucky. I don't even find a proper way to figure it out. Not at all satisfied 👎,1,903,09-01-2022 13:02,Tinder;;
6852,Jacob,I have not used tinder in two years and went to use it recently and it has been hacked and banned. tinder customer support would not reset and allow me to use it and told me there is no appeal process. Poor customer service,1,0,09-01-2022 12:44,Tinder;;
6853,Olivier Devries,Good for what it is designed for. Maybe not the nest for actual dates.,4,0,09-01-2022 12:38,Tinder;;
"6854,George Coggins,""The top Spotify artists thing is broken. You used to be able to choose which artists you wanted to display on your profile. There's no save button when you edit it, so it just goes back to how it was before. When I searched the internet for a fix, I found that this has been going on for months and is pretty wide spread."",2,0,09-01-2022 12:35,Tinder";;
"6855,Olamilekan Onipede,""You people shoud pls refund me back my money ooo, for more than 6month now I have no access to my account and you never stop deducting money from the bank account. Pls oooo since you people don't even have costumer service number that one can call"",1,0,09-01-2022 12:24,Tinder";;
6856,Nik Miro,Unable to login.. Bugs bugs bugs,1,0,09-01-2022 12:24,Tinder;;
6857,Jessie Omomhenle,I've signed up 3 times within 24 hours and my account keeps getting banned without giving me any reason! It's so frustrating ugh!!,1,4,09-01-2022 12:18,Tinder;;
6858,iyiorah henry,Why was I banned without been informed. Too bad. Please see to this. Thanks,1,0,09-01-2022 12:13,Tinder;;
6859,0717088312 0717088312,Great though it's costing,5,0,09-01-2022 12:09,Tinder;;
6860,Pranab Devanath,My comment is based on truth and based on my user experience. Not many features available . Need money to available The good features . It sucks . So I going to Uninstall it???? 🤮🤮🤮,1,0,09-01-2022 11:47,Tinder;;
6861,Akshita Sangwan,Nowadays it's a total waste of time app every second guy nd evn girl are fake with fake identities nd fake nd inappropriate agendas..... Will not recommend anyone if you are genuinely looking for someone important for ur life,1,0,09-01-2022 11:35,Tinder;;
6862,कलम से क्रांति Examपुर,Ek dam potty app h ye,1,0,09-01-2022 11:27,Tinder;;
6863,gouravsourav ghosh,scam,1,0,09-01-2022 10:56,Tinder;;
6864,Ricardo A. Z.,Been banging nonstop since then. Love it <3,5,0,09-01-2022 10:11,Tinder;;
"6865,Lorenzo The Synth-Artist,""Pay to win. You can only message someone you like if they swiped for you. Otherwise, you have to pay... alot of other bs too like for example, if you like too many people, you have to wait 11 hours, or guess what? Pay up!"",1,0,09-01-2022 09:33,Tinder";;
"6866,Shishir Divi,""The app just makes u pay but it's really not worth it. The profile's are fake and even after paying for gold, there's nothing that the app does to make ur experience better."",1,3,09-01-2022 09:23,Tinder";;
6867,roshan mohammad,Worst app ever seen.,1,0,09-01-2022 09:21,Tinder;;
"6868,Mitesh Jain,""There is lot of problem in tinder Whenever I click on like button for profiles which I like, next time it comes back again. And boost option is also not working. please look into my compliant tinder"",1,0,09-01-2022 09:11,Tinder";;
6869,A Google user,let me say that i been on the app for a month and i only got like 2 matchs though out all my accounts that got banned for no reason. very sad how tinder bans you. i have not even had conversation with someone during that month. The app just degrades you...,2,1,09-01-2022 09:11,Tinder;;
6870,Srilakshmi R,I don't understand why my account got banned. Can someone help?,3,0,09-01-2022 09:02,Tinder;;
6871,Patrick Torres,Like it,5,0,09-01-2022 08:39,Tinder;;
6872,Liliana Rodriguez,Perfect and nice I love dating are so lovely and good,5,0,09-01-2022 08:35,Tinder;;
6873,Sudhanshu Sharma,Fraud they dont show my card if you have to shadowban me then why let me buy subscription.and you dont have custumer support number. If you want to buy tinder gold than first check that you are not shadowbanned and keep checking after some days.they can shadow ban you for no reason I had signed up and they shadowbanned me in one day even I haven't interacted with anyone.,1,0,09-01-2022 08:23,Tinder;;
6874,Jesus Gonzalez,The app is easy to use and I haven't had issues with anything. However.... If you sign up for premium issues get ready to have a difficult time to get rid of them.,4,0,09-01-2022 08:16,Tinder;;
6875,Marcos Ramoa,Suck,1,0,09-01-2022 07:53,Tinder;;
6876,Christopher Durham,Umm I tinder lol,5,0,09-01-2022 07:48,Tinder;;
"6877,Richard Stuteville,""Got banned from the app because I was bored and on a whim decided to make my usually normal account into a meme account (a Star Wars Gonk droid) literally the least offensive thing I could be. Turns out Tinder has no appeals process and since their app tracks your hardware, you'll need a new device to get back on. Also all the basic features that it once had are now behind paywalls. Their algorithm pushes your account down if you don't pay. It's bad."",2,0,09-01-2022 07:29,Tinder";;
"6878,Taz,""Either no matches or they never even send a message. Just seems to be a billboard for """"models"""" 🤣 to advertise on and drug addicts to organise trades for prostitution."",1,5,09-01-2022 07:18,Tinder";;
6879,Ken Paxton Lim,Can't log in because I can't receive email otp despite typing the correct email and checking my junk,1,0,09-01-2022 07:16,Tinder;;
6880,Jacob Kryk,Good times,5,0,09-01-2022 07:14,Tinder;;
6881,daniel barragan,App is cool I just find it kind of odd that although my preferences clearly state that I'm looking for women they insist on cramming male lgbt people in my options and I don't understand why. Not what I'm looking for but all power to the them,3,0,09-01-2022 07:12,Tinder;;
6882,Nukee Ramos21,This mf app is useless if u dont have money on it. Cant message anyone without paying,1,0,09-01-2022 07:05,Tinder;;
6883,Oluwaseun Egbaiyelo,Cant upload photos,2,0,09-01-2022 06:54,Tinder;;
